,mechanism,type,rate,nrow,ncol,total_memory_MB
0,EAR,MissingValueNumeric,0.75,100000,4,35.305
1,EAR,MissingValueNumeric,0.9,100000,8,51.892
2,ENAR,MissingValueNumeric,0.1,100,8,0.020523
3,ECAR,AddDelta,0.1,1000000,6,123.632
4,EAR,AddDelta,0.9,100,10,0.053336
5,ECAR,AddDelta,0.75,10000,6,1.75
6,ECAR,AddDelta,0.1,100,10,0.013922
7,ENAR,AddDelta,0.9,100000,2,27.433
8,EAR,MissingValueNumeric,0.5,100000,2,23.935
9,ENAR,AddDelta,0.1,1000000,10,230.289
10,ENAR,AddDelta,0.25,1000000,4,201.099
11,ECAR,MissingValueNumeric,0.1,100,10,0.012827999999999999
12,EAR,AddDelta,0.1,1000000,6,299.686
13,EAR,MissingValueNumeric,0.1,1000000,6,283.474
14,EAR,MissingValueNumeric,0.1,100,8,0.039227
15,EAR,MissingValueNumeric,0.1,1000000,10,381.892
16,ENAR,MissingValueNumeric,0.1,100,6,0.018179999999999998
17,EAR,AddDelta,0.75,100000,2,31.014
18,ENAR,MissingValueNumeric,0.5,100,6,0.018492
19,EAR,MissingValueNumeric,0.9,1000,6,0.45121100000000003
20,EAR,MissingValueNumeric,0.1,1000000,10,381.892
21,ECAR,AddDelta,0.25,10000,2,1.012
22,EAR,MissingValueNumeric,0.25,100,10,0.04525
23,ECAR,AddDelta,0.1,100000,4,10.765
24,ECAR,MissingValueNumeric,0.75,1000,4,0.135281
25,ECAR,MissingValueNumeric,0.75,100000,6,14.268
26,ENAR,MissingValueNumeric,0.9,100000,2,24.81
27,ENAR,AddDelta,0.5,1000000,2,218.398
28,ENAR,AddDelta,0.1,10000,2,1.676
29,EAR,MissingValueNumeric,0.25,1000000,6,316.792
30,ECAR,AddDelta,0.75,100,10,0.014922000000000001
31,EAR,MissingValueNumeric,0.75,10000,10,5.386
32,EAR,MissingValueNumeric,0.5,1000000,2,261.982
33,EAR,MissingValueNumeric,0.75,100000,10,53.043
34,EAR,AddDelta,0.5,100000,10,47.684
35,EAR,AddDelta,0.9,1000000,4,419.018
36,EAR,AddDelta,0.9,1000,10,0.5938049999999999
37,EAR,MissingValueNumeric,0.75,10000,10,5.386
38,ENAR,AddDelta,0.1,100000,6,19.634
39,ENAR,AddDelta,0.9,1000,2,0.276617
40,ECAR,AddDelta,0.9,10000,2,1.491
41,EAR,AddDelta,0.9,1000000,8,539.852
42,ECAR,MissingValueNumeric,0.9,1000,2,0.133906
43,ENAR,AddDelta,0.75,1000000,6,288.387
44,ECAR,MissingValueNumeric,0.25,10000,4,1.021
45,ENAR,AddDelta,0.75,1000,6,0.29302300000000003
46,ECAR,AddDelta,0.75,100000,6,15.891
47,EAR,MissingValueNumeric,0.1,100,10,0.043491999999999996
48,EAR,AddDelta,0.9,1000000,4,419.018
49,ECAR,MissingValueNumeric,0.25,1000000,4,98.121
50,ECAR,AddDelta,0.75,100,2,0.008688000000000001
51,ENAR,AddDelta,0.5,100,6,0.019586
52,ENAR,MissingValueNumeric,0.9,100000,6,28.243
53,ECAR,MissingValueNumeric,0.5,1000,6,0.13918799999999998
54,ENAR,MissingValueNumeric,0.9,1000000,6,291.767
55,ECAR,AddDelta,0.5,100,8,0.012891
56,ENAR,AddDelta,0.5,1000000,4,235.564
57,ENAR,AddDelta,0.9,100,6,0.020602
58,ENAR,AddDelta,0.5,100000,2,21.817
59,EAR,AddDelta,0.25,1000000,8,384.504
60,ECAR,MissingValueNumeric,0.1,10000,6,1.08
61,EAR,MissingValueNumeric,0.9,100000,6,45.75
62,ENAR,AddDelta,0.1,1000000,8,213.122
63,EAR,MissingValueNumeric,0.5,10000,6,3.724
64,EAR,MissingValueNumeric,0.75,100000,2,29.392
65,EAR,AddDelta,0.25,1000,2,0.24556999999999998
66,EAR,AddDelta,0.75,1000,8,0.50157
67,ECAR,AddDelta,0.1,10000,8,1.415
68,ECAR,MissingValueNumeric,0.1,1000000,10,141.751
69,ENAR,AddDelta,0.75,100000,6,28.135
70,ECAR,AddDelta,0.5,10000,8,1.709
71,EAR,AddDelta,0.25,10000,4,2.893
72,ENAR,AddDelta,0.9,10000,2,2.782
73,ECAR,MissingValueNumeric,0.25,100000,8,13.363
74,EAR,AddDelta,0.75,100,2,0.028203
75,ECAR,AddDelta,0.1,1000,2,0.086422
76,ENAR,MissingValueNumeric,0.75,10000,10,3.115
77,ECAR,MissingValueNumeric,0.1,1000000,4,90.252
78,EAR,MissingValueNumeric,0.25,1000000,6,316.792
79,ECAR,AddDelta,0.5,1000000,2,109.327
80,EAR,MissingValueNumeric,0.9,1000,2,0.325336
81,EAR,AddDelta,0.25,100000,6,32.4
82,ECAR,AddDelta,0.75,10000,8,1.921
83,ECAR,MissingValueNumeric,0.75,1000,6,0.15285900000000002
84,ECAR,AddDelta,0.9,100000,2,13.244
85,EAR,MissingValueNumeric,0.9,100000,4,39.608
86,ENAR,AddDelta,0.25,10000,4,2.071
87,ENAR,MissingValueNumeric,0.25,100,10,0.022422
88,ENAR,AddDelta,0.9,10000,6,3.125
89,ECAR,MissingValueNumeric,0.1,1000000,8,124.584
90,ENAR,MissingValueNumeric,0.9,1000000,2,257.435
91,ECAR,AddDelta,0.9,10000,10,2.178
92,ENAR,AddDelta,0.1,10000,4,1.849
93,ENAR,MissingValueNumeric,0.1,10000,6,1.856
94,EAR,MissingValueNumeric,0.75,100,4,0.033016
95,EAR,AddDelta,0.75,100,2,0.028203
96,ENAR,AddDelta,0.9,1000,2,0.277617
97,ENAR,MissingValueNumeric,0.5,100,10,0.021617
98,EAR,MissingValueNumeric,0.25,100000,8,35.928
99,EAR,MissingValueNumeric,0.5,100,2,0.024555
100,EAR,AddDelta,0.1,1000,8,0.36368
101,EAR,AddDelta,0.25,100000,8,37.55
102,ECAR,AddDelta,0.5,1000,8,0.173484
103,EAR,MissingValueNumeric,0.75,10000,2,3.02
104,ENAR,AddDelta,0.1,1000000,6,195.956
105,ENAR,MissingValueNumeric,0.9,100,10,0.022633
106,EAR,AddDelta,0.1,10000,4,2.612
107,EAR,AddDelta,0.1,100,8,0.04032
108,ENAR,MissingValueNumeric,0.9,10000,8,3.134
109,ECAR,MissingValueNumeric,0.9,100000,6,15.055
110,ENAR,AddDelta,0.75,100000,10,31.568
111,ECAR,MissingValueNumeric,0.5,100000,8,14.674
112,EAR,AddDelta,0.75,10000,6,4.366
113,ECAR,MissingValueNumeric,0.5,1000,10,0.174344
114,EAR,MissingValueNumeric,0.75,10000,10,5.386
115,ECAR,MissingValueNumeric,0.75,10000,8,1.758
116,ECAR,AddDelta,0.1,1000,10,0.156719
117,ECAR,MissingValueNumeric,0.1,100000,10,14.292
118,ENAR,MissingValueNumeric,0.5,1000,2,0.209898
119,ECAR,MissingValueNumeric,0.1,10000,8,1.251
120,ENAR,AddDelta,0.9,100000,4,28.149
121,EAR,AddDelta,0.75,100,2,0.028203
122,ECAR,AddDelta,0.5,1000,2,0.12076600000000001
123,ENAR,AddDelta,0.9,100,8,0.022945
124,ECAR,AddDelta,0.1,100000,6,12.482
125,EAR,MissingValueNumeric,0.5,10000,8,4.277
126,EAR,AddDelta,0.75,100,8,0.046703
127,ENAR,AddDelta,0.1,10000,6,2.019
128,EAR,AddDelta,0.5,100000,4,31.089
129,EAR,MissingValueNumeric,0.1,1000,8,0.346961
130,ECAR,MissingValueNumeric,0.5,10000,2,1.03
131,ENAR,MissingValueNumeric,0.9,1000,6,0.295055
132,ECAR,AddDelta,0.5,1000,10,0.191062
133,EAR,AddDelta,0.25,10000,8,3.923
134,ECAR,AddDelta,0.5,100,10,0.013922
135,ECAR,MissingValueNumeric,0.9,1000000,2,113.332
136,ENAR,MissingValueNumeric,0.9,1000,4,0.277477
137,EAR,AddDelta,0.5,100000,2,25.557
138,ENAR,MissingValueNumeric,0.25,10000,6,2.08
139,EAR,MissingValueNumeric,0.1,1000000,4,234.264
140,EAR,MissingValueNumeric,0.75,100000,8,47.131
141,ENAR,AddDelta,0.1,100000,8,21.351
142,ENAR,MissingValueNumeric,0.5,100000,2,19.196
143,ENAR,MissingValueNumeric,0.75,10000,10,3.115
144,ECAR,MissingValueNumeric,0.25,100000,2,8.212
145,ENAR,MissingValueNumeric,0.75,1000,4,0.258727
146,ENAR,AddDelta,0.5,1000,6,0.26177300000000003
147,ECAR,MissingValueNumeric,0.25,1000,2,0.08635899999999999
148,ECAR,MissingValueNumeric,0.75,10000,8,1.758
149,ENAR,MissingValueNumeric,0.1,100,10,0.021617
150,EAR,MissingValueNumeric,0.75,1000000,6,429.616
151,EAR,AddDelta,0.5,100000,6,36.62
152,ENAR,MissingValueNumeric,0.75,1000,6,0.276305
153,EAR,MissingValueNumeric,0.25,1000,2,0.229852
154,ECAR,AddDelta,0.1,1000000,2,89.3
155,ECAR,MissingValueNumeric,0.9,1000,8,0.187641
156,ENAR,AddDelta,0.5,100000,8,25.967
157,EAR,MissingValueNumeric,0.1,100,10,0.043491999999999996
158,ECAR,MissingValueNumeric,0.9,10000,8,1.843
159,EAR,AddDelta,0.75,100,4,0.034109
160,ENAR,AddDelta,0.9,10000,4,2.953
161,EAR,AddDelta,0.5,1000,6,0.396055
162,ENAR,MissingValueNumeric,0.1,100000,2,14.579
163,ENAR,AddDelta,0.9,1000,4,0.294195
164,ECAR,MissingValueNumeric,0.1,100,10,0.012827999999999999
165,ENAR,MissingValueNumeric,0.9,10000,2,2.619
166,EAR,AddDelta,0.25,1000,6,0.352133
167,EAR,AddDelta,0.5,1000000,4,333.509
168,ECAR,MissingValueNumeric,0.9,10000,4,1.5
169,ECAR,MissingValueNumeric,0.75,10000,4,1.415
170,ECAR,AddDelta,0.1,1000000,4,106.466
171,ENAR,AddDelta,0.5,1000000,6,252.73
172,ECAR,AddDelta,0.5,100000,10,18.012
173,EAR,AddDelta,0.9,10000,8,5.251
174,EAR,AddDelta,0.1,100000,10,39.71
175,EAR,MissingValueNumeric,0.1,1000,4,0.246086
176,ECAR,AddDelta,0.9,10000,10,2.178
177,ECAR,MissingValueNumeric,0.9,1000000,6,147.663
178,ENAR,MissingValueNumeric,0.5,10000,6,2.426
