,mechanism,type,rate,nrow,ncol,seconds_runtime
0,EAR,AddDelta,0.1,100000,2,0.1386723518371582
1,EAR,AddDelta,0.1,100000,2,0.088677167892456
2,EAR,AddDelta,0.1,100000,2,0.0729939937591552
3,EAR,AddDelta,0.1,100000,2,0.0718588829040527
4,EAR,AddDelta,0.1,100000,2,0.0637249946594238
5,EAR,AddDelta,0.1,100000,2,0.0571691989898681
6,EAR,AddDelta,0.1,100000,2,0.0663604736328125
7,EAR,AddDelta,0.1,100000,2,0.0597243309020996
8,EAR,AddDelta,0.1,100000,2,0.0571177005767822
9,EAR,AddDelta,0.1,100000,2,0.0571930408477783
10,EAR,AddDelta,0.1,100000,4,0.1496558189392089
11,EAR,AddDelta,0.1,100000,4,0.0823121070861816
12,EAR,AddDelta,0.1,100000,4,0.0766031742095947
13,EAR,AddDelta,0.1,100000,4,0.0866503715515136
14,EAR,AddDelta,0.1,100000,4,0.0748956203460693
15,EAR,AddDelta,0.1,100000,4,0.0723974704742431
16,EAR,AddDelta,0.1,100000,4,0.0710804462432861
17,EAR,AddDelta,0.1,100000,4,0.0624282360076904
18,EAR,AddDelta,0.1,100000,4,0.0652453899383544
19,EAR,AddDelta,0.1,100000,4,0.0604569911956787
20,EAR,AddDelta,0.25,100000,2,0.1278061866760254
21,EAR,AddDelta,0.25,100000,2,0.0631248950958252
22,EAR,AddDelta,0.25,100000,2,0.0661458969116211
23,EAR,AddDelta,0.25,100000,2,0.0635669231414794
24,EAR,AddDelta,0.25,100000,2,0.0628776550292968
25,EAR,AddDelta,0.25,100000,2,0.0609583854675293
26,EAR,AddDelta,0.25,100000,2,0.0626907348632812
27,EAR,AddDelta,0.25,100000,2,0.0638694763183593
28,EAR,AddDelta,0.25,100000,2,0.0596778392791748
29,EAR,AddDelta,0.25,100000,2,0.0587871074676513
30,EAR,AddDelta,0.25,100000,4,0.1281895637512207
31,EAR,AddDelta,0.25,100000,4,0.1042525768280029
32,EAR,AddDelta,0.25,100000,4,0.0934367179870605
33,EAR,AddDelta,0.25,100000,4,0.0866587162017822
34,EAR,AddDelta,0.25,100000,4,0.0669202804565429
35,EAR,AddDelta,0.25,100000,4,0.0641953945159912
36,EAR,AddDelta,0.25,100000,4,0.0718221664428711
37,EAR,AddDelta,0.25,100000,4,0.0673360824584961
38,EAR,AddDelta,0.25,100000,4,0.0645825862884521
39,EAR,AddDelta,0.25,100000,4,0.0643095970153808
40,EAR,AddDelta,0.5,100000,2,0.1411244869232177
41,EAR,AddDelta,0.5,100000,2,0.1045846939086914
42,EAR,AddDelta,0.5,100000,2,0.097996711730957
43,EAR,AddDelta,0.5,100000,2,0.0962622165679931
44,EAR,AddDelta,0.5,100000,2,0.0723028182983398
