Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18.0,8,,130.0,,12.0,70,US
Buick Skylark 320,15.0,8,,,,11.5,70,US
Plymouth Satellite,18.0,8,318.0,150.0,,11.0,70,US
AMC Rebel SST,16.0,8,304.0,,,12.0,70,US
Ford Torino,17.0,8,302.0,,,10.5,70,US
Ford Galaxie 500,15.0,8,429.0,198.0,,10.0,70,US
Chevrolet Impala,14.0,8,454.0,,,9.0,70,US
Plymouth Fury iii,14.0,8,440.0,,,8.5,70,US
Pontiac Catalina,14.0,8,455.0,,,10.0,70,US
AMC Ambassador DPL,15.0,8,390.0,,,8.5,70,US
Citroen DS-21 Pallas,0.0,4,133.0,,,17.5,70,Europe
Chevrolet Chevelle Concours (sw),0.0,8,,,,11.5,70,US
Ford Torino (sw),0.0,8,351.0,153.0,,11.0,70,US
Plymouth Satellite (sw),0.0,8,,,,10.5,70,US
AMC Rebel SST (sw),0.0,8,,,,11.0,,US
Dodge Challenger SE,15.0,8,,170.0,,10.0,70,US
Plymouth 'Cuda 340,14.0,8,340.0,,,8.0,70,US
Ford Mustang Boss 302,0.0,8,302.0,140.0,,8.0,70,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,,9.5,70,US
Buick Estate Wagon (sw),14.0,8,455.0,,,10.0,70,US
Toyota Corolla Mark ii,24.0,4,,,,15.0,70,Japan
Plymouth Duster,22.0,6,198.0,,,15.5,,US
AMC Hornet,18.0,6,199.0,,,15.5,70,US
Ford Maverick,21.0,6,200.0,,,16.0,70,US
Datsun PL510,27.0,,97.0,,,14.5,70,Japan
Volkswagen 1131 Deluxe Sedan,26.0,4,97.0,,,20.5,70,Europe
Peugeot 504,25.0,4,110.0,,,17.5,70,Europe
Audi 100 LS,24.0,4,107.0,90.0,,14.5,70,Europe
Saab 99e,25.0,4,104.0,,,17.5,70,Europe
BMW 2002,26.0,4,121.0,,,12.5,70,Europe
AMC Gremlin,21.0,6,,,,15.0,70,US
Ford F250,10.0,8,,215.0,,14.0,70,US
Chevy C20,10.0,8,307.0,,,15.0,70,US
Dodge D200,11.0,8,,,,13.5,70,US
Hi 1200D,9.0,8,304.0,193.0,,18.5,70,US
Datsun PL510,27.0,4,97.0,,,14.5,71,Japan
Chevrolet Vega 2300,28.0,4,140.0,90.0,,15.5,71,US
Toyota Corolla,25.0,4,,95.0,,14.0,71,Japan
Ford Pinto,25.0,4,98.0,0.0,,19.0,71,US
Volkswagen Super Beetle 117,0.0,4,,48.0,,20.0,71,Europe
AMC Gremlin,19.0,6,232.0,100.0,,13.0,71,US
Plymouth Satellite Custom,16.0,6,225.0,105.0,,15.5,71,US
